onset	duration	trial_type	response_time	response_hand	response_accuracy	ori_match	sex	ethn_target	ethn_match	ethn_distractor	emo_match
10.0181	4.507399999999999	control	4.507399999999999	left	correct	horizontal	n/a	n/a	n/a	n/a	n/a
15.0263	4.212999999999999	control	4.212999999999999	right	correct	horizontal	n/a	n/a	n/a	n/a	n/a
20.0345	1.0198	control	1.0198	right	correct	vertical	n/a	n/a	n/a	n/a	n/a
25.0427	1.1113999999999997	control	1.1113999999999997	left	correct	vertical	n/a	n/a	n/a	n/a	n/a
30.0509	0.9631000000000007	control	0.9631000000000007	right	correct	horizontal	n/a	n/a	n/a	n/a	n/a
35.0591	0.7866999999999962	control	0.7866999999999962	left	correct	vertical	n/a	n/a	n/a	n/a	n/a
40.0673	1.1802999999999955	emotion	1.1802999999999955	left	correct	n/a	female	caucasian	caucasian	caucasian	fear
45.0755	1.667900000000003	emotion	1.667900000000003	right	correct	n/a	male	black	black	black	anger
50.0837	1.1156000000000006	emotion	1.1156000000000006	right	correct	n/a	female	caucasian	caucasian	caucasian	anger
55.0919	1.9361999999999995	emotion	1.9361999999999995	left	correct	n/a	male	black	black	black	fear
60.1001	1.9998000000000005	emotion	1.9998000000000005	right	incorrect	n/a	male	caucasian	caucasian	caucasian	anger
65.1083	1.8204999999999956	emotion	1.8204999999999956	right	correct	n/a	female	asian	black	asian	fear
70.1165	1.0870999999999924	control	1.0870999999999924	left	correct	horizontal	n/a	n/a	n/a	n/a	n/a
75.1247	0.6547999999999945	control	0.6547999999999945	right	correct	horizontal	n/a	n/a	n/a	n/a	n/a
80.1329	1.0093999999999994	control	1.0093999999999994	left	correct	vertical	n/a	n/a	n/a	n/a	n/a
85.1411	0.6291000000000082	control	0.6291000000000082	left	correct	vertical	n/a	n/a	n/a	n/a	n/a
90.1494	0.8956000000000017	control	0.8956000000000017	right	correct	horizontal	n/a	n/a	n/a	n/a	n/a
95.1576	0.7852000000000032	control	0.7852000000000032	right	correct	vertical	n/a	n/a	n/a	n/a	n/a
100.1658	1.7258999999999958	emotion	1.7258999999999958	right	correct	n/a	female	caucasian	caucasian	caucasian	anger
105.174	2.0774999999999864	emotion	2.0774999999999864	left	correct	n/a	male	black	black	black	anger
110.1822	1.4871000000000123	emotion	1.4871000000000123	right	correct	n/a	female	caucasian	caucasian	caucasian	fear
115.1904	1.8307999999999964	emotion	1.8307999999999964	right	correct	n/a	male	black	black	black	fear
120.1986	1.8333999999999975	emotion	1.8333999999999975	left	correct	n/a	male	caucasian	caucasian	caucasian	fear
125.2068	1.7109999999999985	emotion	1.7109999999999985	left	correct	n/a	female	asian	black	asian	anger
130.215	0.9307000000000016	control	0.9307000000000016	left	correct	horizontal	n/a	n/a	n/a	n/a	n/a
135.2232	2.1162999999999954	control	2.1162999999999954	right	correct	vertical	n/a	n/a	n/a	n/a	n/a
140.2314	0.799999999999983	control	0.799999999999983	right	correct	vertical	n/a	n/a	n/a	n/a	n/a
145.2396	1.0185999999999922	control	1.0185999999999922	right	correct	vertical	n/a	n/a	n/a	n/a	n/a
150.2478	0.6742999999999881	control	0.6742999999999881	left	correct	vertical	n/a	n/a	n/a	n/a	n/a
155.256	0.9479000000000042	control	0.9479000000000042	left	correct	horizontal	n/a	n/a	n/a	n/a	n/a
160.2642	2.600500000000011	emotion	2.600500000000011	left	correct	n/a	male	caucasian	caucasian	caucasian	anger
165.2724	2.4651000000000067	emotion	2.4651000000000067	left	correct	n/a	female	caucasian	caucasian	caucasian	fear
170.2806	4.720699999999994	emotion	4.720699999999994	right	correct	n/a	male	black	black	black	anger
175.2889	2.283299999999997	emotion	2.283299999999997	right	incorrect	n/a	female	black	asian	asian	anger
180.2971	1.8608999999999867	emotion	1.8608999999999867	right	correct	n/a	male	caucasian	caucasian	white	fear
185.3053	1.9146000000000072	emotion	1.9146000000000072	right	correct	n/a	female	asian	asian	black	fear
190.3135	0.8172999999999888	control	0.8172999999999888	left	correct	vertical	n/a	n/a	n/a	n/a	n/a
195.3217	1.6289000000000158	control	1.6289000000000158	left	correct	vertical	n/a	n/a	n/a	n/a	n/a
200.3299	0.78449999999998	control	0.78449999999998	right	correct	horizontal	n/a	n/a	n/a	n/a	n/a
205.3381	0.8951000000000136	control	0.8951000000000136	left	correct	horizontal	n/a	n/a	n/a	n/a	n/a
210.3463	1.0067999999999984	control	1.0067999999999984	right	correct	vertical	n/a	n/a	n/a	n/a	n/a
215.3545	0.959399999999988	control	0.959399999999988	right	correct	horizontal	n/a	n/a	n/a	n/a	n/a
220.3627	1.4521000000000015	emotion	1.4521000000000015	right	correct	n/a	male	caucasian	caucasian	caucasian	fear
225.3709	1.459699999999998	emotion	1.459699999999998	left	correct	n/a	female	black	asian	asian	fear
230.3791	1.7223000000000184	emotion	1.7223000000000184	right	correct	n/a	male	caucasian	caucasian	caucasian	anger
235.3873	2.4258999999999844	emotion	2.4258999999999844	left	correct	n/a	male	black	black	black	fear
240.3955	2.5746000000000038	emotion	2.5746000000000038	left	correct	n/a	female	caucasian	caucasian	caucasian	anger
245.4037	4.579100000000011	emotion	4.579100000000011	left	incorrect	n/a	female	asian	asian	black	anger
