onset	duration	trial_type	response_time	response_hand	response_accuracy	ori_match	sex	ethn_target	ethn_match	ethn_distractor	emo_match
10.0148	3.751900000000001	control	3.751900000000001	left	correct	horizontal	n/a	n/a	n/a	n/a	n/a
15.0231	0.7865000000000002	control	0.7865000000000002	right	correct	horizontal	n/a	n/a	n/a	n/a	n/a
20.0313	0.7851999999999997	control	0.7851999999999997	right	correct	horizontal	n/a	n/a	n/a	n/a	n/a
25.0396	0.5567999999999991	control	0.5567999999999991	left	correct	vertical	n/a	n/a	n/a	n/a	n/a
30.0478	0.5975000000000001	control	0.5975000000000001	right	correct	vertical	n/a	n/a	n/a	n/a	n/a
35.0561	0.5780999999999992	control	0.5780999999999992	right	incorrect	vertical	n/a	n/a	n/a	n/a	n/a
40.0643	1.273699999999998	emotion	1.273699999999998	left	correct	n/a	female	caucasian	caucasian	caucasian	fear
45.0726	1.2693000000000012	emotion	1.2693000000000012	right	correct	n/a	male	black	black	black	anger
50.0808	1.2489999999999952	emotion	1.2489999999999952	right	correct	n/a	female	caucasian	caucasian	caucasian	anger
55.0891	1.147599999999997	emotion	1.147599999999997	left	correct	n/a	male	black	black	black	fear
60.0973	1.5273000000000039	emotion	1.5273000000000039	left	correct	n/a	male	caucasian	caucasian	caucasian	anger
65.1056	1.2387999999999977	emotion	1.2387999999999977	right	correct	n/a	female	asian	black	asian	fear
70.1138	1.0015999999999963	control	1.0015999999999963	left	correct	horizontal	n/a	n/a	n/a	n/a	n/a
75.1221	0.8121000000000009	control	0.8121000000000009	left	correct	vertical	n/a	n/a	n/a	n/a	n/a
80.1303	0.6847999999999956	control	0.6847999999999956	right	correct	vertical	n/a	n/a	n/a	n/a	n/a
85.1386	0.598399999999998	control	0.598399999999998	right	correct	horizontal	n/a	n/a	n/a	n/a	n/a
90.1468	0.7921000000000049	control	0.7921000000000049	right	correct	horizontal	n/a	n/a	n/a	n/a	n/a
95.1551	0.6036999999999892	control	0.6036999999999892	left	correct	vertical	n/a	n/a	n/a	n/a	n/a
100.1633	1.4122999999999877	emotion	1.4122999999999877	right	correct	n/a	female	caucasian	caucasian	caucasian	anger
105.1716	1.4799000000000007	emotion	1.4799000000000007	left	correct	n/a	male	black	black	black	anger
110.1798	1.0725999999999942	emotion	1.0725999999999942	right	correct	n/a	female	caucasian	caucasian	caucasian	fear
115.1881	1.1421999999999883	emotion	1.1421999999999883	right	correct	n/a	male	black	black	black	fear
120.1963	1.1929000000000087	emotion	1.1929000000000087	left	correct	n/a	male	caucasian	caucasian	caucasian	fear
125.2046	1.5304000000000002	emotion	1.5304000000000002	left	correct	n/a	female	asian	black	asian	anger
130.2128	0.8751000000000033	control	0.8751000000000033	left	correct	vertical	n/a	n/a	n/a	n/a	n/a
135.2211	0.7006999999999834	control	0.7006999999999834	right	correct	vertical	n/a	n/a	n/a	n/a	n/a
140.2293	0.690400000000011	control	0.690400000000011	left	correct	horizontal	n/a	n/a	n/a	n/a	n/a
145.2376	0.5630000000000166	control	0.5630000000000166	right	correct	vertical	n/a	n/a	n/a	n/a	n/a
150.2458	0.6296999999999855	control	0.6296999999999855	right	correct	vertical	n/a	n/a	n/a	n/a	n/a
155.2541	0.9971999999999923	control	0.9971999999999923	left	correct	horizontal	n/a	n/a	n/a	n/a	n/a
160.2623	1.967899999999986	emotion	1.967899999999986	left	correct	n/a	male	caucasian	caucasian	caucasian	anger
165.2706	0.9884999999999877	emotion	0.9884999999999877	left	correct	n/a	female	caucasian	caucasian	caucasian	fear
170.2788	1.0401999999999987	emotion	1.0401999999999987	right	correct	n/a	male	black	black	black	anger
175.2871	1.2897999999999854	emotion	1.2897999999999854	left	correct	n/a	female	black	asian	asian	anger
180.2953	1.197499999999991	emotion	1.197499999999991	right	correct	n/a	male	caucasian	caucasian	white	fear
185.3036	1.7340000000000089	emotion	1.7340000000000089	left	incorrect	n/a	female	asian	asian	black	fear
190.3118	0.7407000000000039	control	0.7407000000000039	left	correct	horizontal	n/a	n/a	n/a	n/a	n/a
195.3201	0.7483000000000004	control	0.7483000000000004	right	correct	horizontal	n/a	n/a	n/a	n/a	n/a
200.3283	0.5789999999999793	control	0.5789999999999793	right	correct	horizontal	n/a	n/a	n/a	n/a	n/a
205.3366	0.644599999999997	control	0.644599999999997	left	correct	vertical	n/a	n/a	n/a	n/a	n/a
210.3448	0.830299999999994	control	0.830299999999994	left	correct	vertical	n/a	n/a	n/a	n/a	n/a
215.3531	0.6647999999999854	control	0.6647999999999854	right	correct	vertical	n/a	n/a	n/a	n/a	n/a
220.3614	1.3783999999999992	emotion	1.3783999999999992	right	correct	n/a	male	caucasian	caucasian	caucasian	fear
225.3696	1.2451000000000079	emotion	1.2451000000000079	left	correct	n/a	female	black	asian	asian	fear
230.3779	1.8896999999999764	emotion	1.8896999999999764	right	correct	n/a	male	caucasian	caucasian	caucasian	anger
235.3861	1.3533999999999935	emotion	1.3533999999999935	left	correct	n/a	male	black	black	black	fear
240.3944	1.0620000000000118	emotion	1.0620000000000118	left	correct	n/a	female	caucasian	caucasian	caucasian	anger
245.4026	1.9225999999999885	emotion	1.9225999999999885	right	correct	n/a	female	asian	asian	black	anger
