onset	duration	trial_type	sex	ethnicity	ADFES_id
5.0008	2.0	pride	female	NorthEuropean	F01
12.0018	2.0	pride	female	NorthEuropean	F01
19.0028	2.0	pride	female	NorthEuropean	F01
26.0138	2.0	joy	female	Mediterranean	F06
33.0148	2.0	contempt	female	Mediterranean	F06
40.0158	2.0	contempt	female	Mediterranean	F09
47.0168	2.0	anger	female	NorthEuropean	F01
54.0178	2.0	neutral	female	NorthEuropean	F04
61.0188	2.0	anger	female	Mediterranean	F09
68.0198	2.0	pride	female	NorthEuropean	F01
75.0208	2.0	anger	female	NorthEuropean	F02
82.0218	2.0	pride	female	NorthEuropean	F02
89.0228	2.0	joy	female	NorthEuropean	F04
96.0238	2.0	anger	female	NorthEuropean	F03
103.0248	2.0	anger	female	NorthEuropean	F04
110.0258	2.0	pride	female	Mediterranean	F06
117.0268	2.0	neutral	female	Mediterranean	F09
124.0278	2.0	contempt	female	NorthEuropean	F02
131.0288	2.0	neutral	female	NorthEuropean	F01
138.0298	2.0	contempt	female	NorthEuropean	F04
145.0308	2.0	pride	female	Mediterranean	F09
152.0318	2.0	neutral	female	NorthEuropean	F03
159.0328	2.0	pride	female	NorthEuropean	F03
166.0338	2.0	contempt	female	NorthEuropean	F03
173.0348	2.0	pride	female	NorthEuropean	F04
180.0358	2.0	neutral	female	Mediterranean	F06
187.0368	2.0	joy	female	NorthEuropean	F02
194.0378	2.0	anger	female	Mediterranean	F06
201.0388	2.0	joy	female	Mediterranean	F09
208.0398	2.0	neutral	female	NorthEuropean	F02
215.0408	2.0	contempt	female	NorthEuropean	F01
222.0418	2.0	joy	female	NorthEuropean	F03
229.0428	2.0	joy	female	NorthEuropean	F01
